kernel,k,k_sw,k_sum_raw,k_sum,k_normalised,r_global,r_local,fragmentation,dissonance,harmonic_purity,vortex_count,dct_peak_kx,dct_peak_ky,dct_dc_fraction,traveling_index,mode_drift_hz,fft_peak_kx,fft_peak_ky
flat,"[1.0, 1.0, 1.0, 1.0]",0.0,4.0,4.0,"[1.0, 1.0, 1.0, 1.0]",0.7719914317131042,0.842050549536387,0.07005911782328278,0.16795075057806694,0.9011392675906127,4.857142857142857,1,0,0.5966809824934737,0.2081846917051253,0.0010919570922851562,-1,0
5meo_plate,"[0.93, 0.17, 0.61, -0.64]",0.0,1.0699999999999998,1.821276595744681,"[1.5829787234042554, 0.2893617021276596, 1.0382978723404255, -1.0893617021276596]",0.05801187455654144,0.2919752268259125,0.23396335226937104,0.05363641159310894,0.1977321015117559,111.14285714285714,0,4,0.004228528813727375,0.2958000221433491,0.005039691925048828,0,2
baseline,"[0.6, 0.2, -0.1, -0.2]",0.0,0.5,1.8181818181818181,"[2.1818181818181817, 0.7272727272727273, -0.36363636363636365, -0.7272727272727273]",0.04883069545030594,0.30724563469353877,0.25841493924323283,0.06431303393586223,0.1708668716886253,93.52380952380952,1,4,0.0029704359969473146,0.2192175109367736,0.08864068984985352,-2,1
mexican_hat,"[-1.0, 0.1, -0.6, -0.9]",0.0,-2.4,-3.692307692307692,"[-1.5384615384615383, 0.15384615384615385, -0.9230769230769229, -1.3846153846153846]",0.019227242097258568,0.11631092091540601,0.09708367881814745,0.008797953061315249,0.14021256743625024,243.9047619047619,23,22,0.00042840973451364623,0.5136046666006178,0.021625518798828125,-12,-12
dmt_plate,"[-1.0, 0.09, -0.63, -0.9]",0.0,-2.44,-3.7251908396946565,"[-1.5267175572519083, 0.13740458015267173, -0.9618320610687022, -1.3740458015267174]",0.020911220461130142,0.11699621730723116,0.09608499684610101,0.00904213732436769,0.1345574777332131,245.9047619047619,23,22,0.0004971974448092595,0.49166935146810253,0.062105655670166016,-12,-12
checkerboard,"[-20.0, 15.8, 12.1, -16.8]",-2.4,-8.9,-0.5502318392581143,"[-1.2364760432766615, 0.9768160741885626, 0.7480680061823802, -1.0386398763523956]",0.029864495620131493,0.1290642492814352,0.09919975366130371,0.012514876449935182,0.1401882653245926,234.85714285714286,16,24,0.001185919285710684,0.44754263780272263,0.07748651504516602,11,-10
pinwheel,"[19.0, 15.8, 14.0, 1.2]",-2.4,50.0,4.0,"[1.52, 1.264, 1.12, 0.096]",0.32570797204971313,0.6391873018317045,0.31347932978199133,0.30676063773736073,0.38691998053486926,25.142857142857142,1,0,0.1088028917091429,0.2918806423698591,0.0022878646850585938,1,0
traveling_wave,"[19.0, 4.1, -5.4, 20.0]",-2.4,37.7,3.1092783505154635,"[1.5670103092783505, 0.3381443298969072, -0.44536082474226807, 1.6494845360824741]",0.1631719172000885,0.32868117056423896,0.16550925336415045,0.07517772159746641,0.2897355744216845,124.28571428571429,2,0,0.036086078324048095,0.07042184949486162,0.0030989646911621094,0,-1
