geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
tree,0.0,0,626,0.03152678172515373,0.03152678172515373,0.028637095769966543,0.06987777352333069,0.23539387843110665,0.16551610490777596,0.2619087453750808,0.15561123147677453,0.1948147416114807,1.578631467682261,1.2538838745492844,0.9198561181764995,0.5791158313613741,0.11648812879784502,0.14899623306053733
tree,0.0,1,626,0.02851326940038437,0.02851326940038437,0.016074837047529083,0.0655454620718956,0.22183621748316718,0.15629075541127158,0.24215451092147733,0.1770746528083202,0.1891866773366928,1.6696710951112042,1.3091036123934392,0.9173035227972804,0.5889975912916491,0.11376307711583036,0.12841183395325312
tree,0.0,2,626,0.03461501353136699,0.03461501353136699,0.02681969345468396,0.06290176510810852,0.23305471959108093,0.1701529544829724,0.21260674107416452,0.15033465917825714,0.20418164134025574,1.475008399198838,1.1666211712095795,0.8527666255436147,0.6468785305951844,0.12096723673494957,0.12222145027561034
tree,1.0,0,626,0.047049027592705,0.03434969984510841,0.047049027592705,0.13095183670520782,0.26708287542009496,0.13613103871488713,0.4520166289559723,0.19944501686600893,0.18864706158638,1.5972055025552794,1.265033362800927,0.9237043135318115,0.6658383444968112,0.1182421850529349,0.1279665911589351
tree,1.0,1,626,0.045646924137018444,0.036720561365856844,0.045646924137018444,0.15237417817115784,0.2728534381629407,0.12047925999178288,0.4759282728966957,0.23281289079375894,0.18212683498859406,1.6593861138943997,1.321192858251363,0.8574933689442477,0.6195968958452986,0.11482803984213494,0.12459834429631415
tree,1.0,2,626,0.04969776562804934,0.03642966375360991,0.04969776562804934,0.14958800375461578,0.27146166756823226,0.12187366381361647,0.4966809143261344,0.21340067603867477,0.19812250137329102,1.4550317230005596,1.1640318335870976,0.8356493179232625,0.6813831863247607,0.12500783060828166,0.12834380490085448
tree,2.0,0,626,0.07975765996493231,0.07385545229685447,0.07975765996493231,0.29970449209213257,0.3703870756892558,0.0706825835971232,0.7897527734924858,0.35429973077391314,0.18848492205142975,1.6058596809469756,1.3022349452771973,0.9684938766740672,0.5848723536225118,0.13136628453298252,0.09863256577753857
tree,2.0,1,626,0.07878894965976779,0.07878894965976779,0.07093477728955047,0.3026649057865143,0.36448926270704063,0.06182435692052635,0.8042598302768873,0.33443744659166585,0.18142297863960266,1.5840774280307257,1.284034092367353,0.8774322595202303,0.596074593130766,0.12190690972874772,0.0857341253947283
tree,2.0,2,626,0.08238960084231035,0.07492385145724548,0.08238960084231035,0.31447893381118774,0.37985224380830124,0.0653733099971135,0.8108971153825155,0.39336730897698385,0.1989136040210724,1.561927096747402,1.2724955969762075,0.9164375383845719,0.574032737421277,0.1359706822025935,0.10685187064803385
tree,2.5,0,626,0.1427568169671402,0.1427568169671402,0.06855682713058364,0.40647074580192566,0.46402889930516955,0.05755815350324389,0.8715127332701976,0.47055201385454337,0.18078629672527313,1.5347707102710633,1.2466879440338852,0.9470638798877639,0.665659940244075,0.12341038651882479,0.06732118311094731
tree,2.5,1,626,0.14020614442953047,0.14020614442953047,0.05600771589766617,0.40934425592422485,0.4543352261375152,0.04499097021329035,0.8939775579315302,0.4869182238780486,0.179226353764534,1.6200370247986045,1.3258334943725263,0.9290949369699726,0.6823167217238655,0.12425609221324313,0.056167118604509174
tree,2.5,2,626,0.13586641258614474,0.13586641258614474,0.06404443890155448,0.41949430108070374,0.4686145838754264,0.04912028279472269,0.8992178276919562,0.5219847127240637,0.188215970993042,1.5650291433201724,1.2967432072779426,0.9128149284554383,0.6212797805021965,0.13111570506796968,0.07885548698924583
tree,3.0,0,626,0.1884433238359033,0.1884433238359033,0.05748649700506892,0.5169675946235657,0.5572707066221628,0.04030311199859715,0.9160818043227105,0.6104406239530361,0.16457463800907135,1.5632530649329466,1.277683531632878,0.9864516882468586,0.6087127796316597,0.10825032888554784,0.05241306439177684
tree,3.0,1,626,0.20008995245001118,0.20008995245001118,0.022961766462196418,0.5184134244918823,0.5526280666852491,0.034214642193366784,0.9465086811272475,0.6087759664685618,0.16312099993228912,1.6174011344099029,1.3460671185019033,0.9142499509883095,0.6576046441721072,0.10900206728058635,0.023767848407797505
tree,3.0,2,626,0.16372065444155884,0.16372065444155884,0.04429420676378542,0.5361154079437256,0.5721302044812576,0.036014796537532034,0.9440399792964371,0.6682130977404326,0.17099885642528534,1.433260449893298,1.2140323151854124,0.8759088840837068,0.5019099241643925,0.11962037211050554,0.05095212328739933
