sweep,seed,variant,amplitude,dissonance,dissonance_intensive,r_global,fragmentation,coherence_weight,k_sw,omega_ratio,omega_hz,branching_factor,segment_length,n_target
variant,0,pacemaker,0.0,0.03152678172515373,0.5791158313613741,0.06987777352333069,0.16551610490777596,0.05443950936558096,,,,,,
variant,1,pacemaker,0.0,0.02851326940038437,0.5889975912916491,0.0655454620718956,0.15629075541127158,0.048409823438930986,,,,,,
variant,0,pacemaker,1.0,0.047049027592705,0.6658383444968112,0.13095183670520782,0.13613103871488713,0.07066133691693739,,,,,,
variant,1,pacemaker,1.0,0.045646924137018444,0.6195968958452986,0.15237417817115784,0.12047925999178288,0.07367197034572555,,,,,,
variant,0,pacemaker,2.0,0.07975765996493231,0.5848723536225118,0.29970449209213257,0.0706825835971232,0.13636763555490175,,,,,,
variant,1,pacemaker,2.0,0.07878894965976779,0.596074593130766,0.3026649057865143,0.06182435692052635,0.13217968114685802,,,,,,
variant,0,pacemaker,3.0,0.1884433238359033,0.6087127796316597,0.5169675946235657,0.04030311199859715,0.30957674972740484,,,,,,
variant,1,pacemaker,3.0,0.20008995245001118,0.6576046441721072,0.5184134244918823,0.034214642193366784,0.3042708931928467,,,,,,
variant,0,pacemaker,4.0,0.2649798191272583,0.48430174678138876,0.7124208807945251,0.028322976241804132,0.5471378554553693,,,,,,
variant,1,pacemaker,4.0,0.19043370336752177,0.33663402317881513,0.7317346930503845,0.02126032665738742,0.5656995141764567,,,,,,
variant,0,pacemaker,5.0,0.09976245837626137,0.12999821405985693,0.8579807877540588,0.018816968057936645,0.7674140687065617,,,,,,
variant,1,pacemaker,5.0,0.06682593317151524,0.08459580378482985,0.8760893940925598,0.01348968267226669,0.789943829146509,,,,,,
variant,0,pacemaker,6.0,0.04546012444307955,0.05111134143375068,0.9316588044166565,0.012261593929452697,0.889433209300599,,,,,,
variant,1,pacemaker,6.0,0.015812244295334513,0.017619671165264725,0.9387052655220032,0.009387607182904434,0.8974199431432432,,,,,,
variant,0,pacemaker,8.0,0.0015959867120348046,0.0016690500888876564,0.9731128215789795,0.0055244800046979625,0.9562245750805807,,,,,,
variant,1,pacemaker,8.0,0.0017960963293626364,0.00186898199963138,0.976286768913269,0.0047861016172481285,0.9610024760628413,,,,,,
variant,0,diffuse,0.0,0.03152678172515373,0.5791158313613741,0.06987777352333069,0.16551610490777596,0.05443950936558096,,,,,,
variant,1,diffuse,0.0,0.02851326940038437,0.5889975912916491,0.0655454620718956,0.15629075541127158,0.048409823438930986,,,,,,
variant,0,diffuse,1.0,0.033634642010658834,0.5659724144289418,0.08033649623394012,0.16536493253785547,0.059428058953360334,,,,,,
variant,1,diffuse,1.0,0.043282111353210244,0.6433740847929853,0.10702650994062424,0.15439610088403322,0.06727363189820876,,,,,,
variant,0,diffuse,2.0,0.03837007698275383,0.5650763479995549,0.13297732174396515,0.12918843227790927,0.06790246507147041,,,,,,
variant,1,diffuse,2.0,0.043572058388421916,0.6548727836502068,0.15411052107810974,0.1050428271225366,0.0665351492324278,,,,,,
variant,0,diffuse,3.0,0.055703339581047055,0.517625334821725,0.23562276363372803,0.0950990117990842,0.10761324037632702,,,,,,
variant,1,diffuse,3.0,0.10663444400797888,0.29619775081860916,0.5704940557479858,0.031266263659843974,0.36001098493580924,,,,,,
variant,0,diffuse,4.0,0.10075407770963601,0.20849469724217734,0.6532772779464722,0.04360327631106442,0.4832452769415279,,,,,,
variant,1,diffuse,4.0,0.08142632384816663,0.11472384685664963,0.8125152587890625,0.03160213491943531,0.7097593576156045,,,,,,
variant,0,diffuse,5.0,0.06297988841499749,0.08757176737962548,0.823589026927948,0.027069285357319006,0.7191802826358218,,,,,,
variant,1,diffuse,5.0,0.02247883241243653,0.029007780440426807,0.8509578108787537,0.03461775226110397,0.7749242469137286,,,,,,
variant,0,diffuse,6.0,0.005885340814408001,0.007664792293296256,0.8580617308616638,0.026049788523424655,0.7678408741167597,,,,,,
variant,1,diffuse,6.0,0.00896078374743394,0.010612385944019437,0.9032831788063049,0.022668181327749615,0.8443703230076879,,,,,,
variant,0,diffuse,8.0,0.0014898504783377522,0.001703777027193742,0.9327118396759033,0.010520772628250019,0.8744398207972413,,,,,,
variant,1,diffuse,8.0,0.002067218682554074,0.0022939035861714177,0.945453941822052,0.0113118379702557,0.9011794109465227,,,,,,
k_sw,0,,,0.03486310722293977,0.5764861145525667,0.15407738089561462,0.09332600519796924,0.0604751898491057,-3.0,,,,,
k_sw,1,,,0.03561260343958556,0.6209982748583218,0.15101926028728485,0.08977813359208345,0.057347346814627505,-3.0,,,,,
k_sw,0,,,0.06486320894901358,0.7124374535608882,0.24010813236236572,0.06293143777677551,0.09104407499186885,-2.0,,,,,
k_sw,1,,,0.05361692424150614,0.6017064961850724,0.2420024871826172,0.05766228617356356,0.08910810267372397,-2.0,,,,,
k_sw,0,,,0.1571293897167896,0.7174356629783446,0.428598552942276,0.04056686263721998,0.21901530384548568,-1.0,,,,,
k_sw,1,,,0.15953934737006728,0.7358676276803977,0.4381799101829529,0.02805199251332724,0.21680441069675435,-1.0,,,,,
k_sw,0,,,0.22397691350230567,0.5929838699349745,0.5827362537384033,0.03284123222845525,0.377711645894966,-0.5,,,,,
k_sw,1,,,0.2165217374511056,0.5536174850195232,0.5992409586906433,0.0267787136173262,0.3911035025266046,-0.5,,,,,
k_sw,0,,,0.2649798191272583,0.48430174678138876,0.7124208807945251,0.028322976241804132,0.5471378554553693,0.0,,,,,
k_sw,1,,,0.19043370336752177,0.33663402317881513,0.7317346930503845,0.02126032665738742,0.5656995141764567,0.0,,,,,
k_sw,0,,,0.15033730940507128,0.21626241180481728,0.8161943554878235,0.018400369798665772,0.6951615315413887,0.5,,,,,
k_sw,1,,,0.11784859861487494,0.16220030672936916,0.839662492275238,0.013529856617367941,0.7265621193399163,0.5,,,,,
k_sw,0,,,0.06433450925688497,0.07921960288841201,0.8855827450752258,0.016414536843906702,0.8121034051067632,1.0,,,,,
k_sw,1,,,0.03847670989233006,0.04554072663148358,0.9092053771018982,0.010784185716428474,0.8448857262134688,1.0,,,,,
k_sw,0,,,0.0015375889049205971,0.0016291327350865968,0.9673619866371155,0.004902987005499848,0.9438082433711986,2.0,,,,,
k_sw,1,,,0.0020749490732146314,0.002174690348963799,0.9731479287147522,0.004410610294035111,0.9541354125212852,2.0,,,,,
k_sw,0,,,0.0013610040117443198,0.0014064569799617287,0.981938362121582,0.0025402772802503026,0.9676826459216366,3.0,,,,,
k_sw,1,,,0.001804714113892307,0.0018550367849387518,0.9846140742301941,0.002493883073397263,0.9728724133909257,3.0,,,,,
omega,0,,,0.05140953556055847,0.7718351741559826,0.12714791297912598,0.13293703818713215,0.06660688354450267,,0.5,2.8,,,
omega,1,,,0.045081815198772156,0.7516670799155877,0.12547864019870758,0.12098334087969395,0.05997577438649415,,0.5,2.8,,,
omega,0,,,0.06892967928619328,0.7857415303557815,0.21290744841098785,0.08485288868522112,0.08772564084143818,,0.7,3.9199999999999995,,,
omega,1,,,0.05723570512038434,0.682760172676661,0.21155467629432678,0.07956987860032022,0.0838298826013828,,0.7,3.9199999999999995,,,
omega,0,,,0.1952581022179932,0.6938149939015332,0.4982324540615082,0.03669105664330674,0.2814267548759611,,0.85,4.76,,,
omega,1,,,0.1913538552294356,0.7112664047043125,0.49667370319366455,0.026612575623154666,0.2690326071410405,,0.85,4.76,,,
omega,0,,,0.01669715190818432,0.020161589590788422,0.8830081820487976,0.02786883953600683,0.8281664415891612,,0.95,5.319999999999999,,,
