amplitude,t_on,baseline_D,peak_D,t_peak,rise_s,sustained_fraction,attack_occurred,mid_window_D,mid_over_peak,end_window_D,terminates_while_driven,r_global_mid
2.0,30.76,0.030673351697077203,0.11357660823175011,33.0,2.2399999999999984,nan,False,0.08595310630762107,0.7567852892052912,0.07298758371974261,False,0.2974783778190613
2.0,60.76,0.03162832656438283,0.0979475577561422,67.5,6.740000000000002,nan,False,0.07696296156232775,0.7857568205420771,0.08757307047049961,False,0.29683955226625713
2.0,90.76,0.03147053091164973,0.09716529133588879,96.0,5.239999999999995,nan,False,0.08410166686754768,0.8655525621470971,0.07679112470570856,False,0.2947659492492676
2.0,30.76,0.03845424055122857,0.09746238926358956,37.5,6.739999999999998,nan,False,0.09002926559603563,0.9237334142563358,0.06537987843429278,False,0.30275857874325346
2.0,60.76,0.042613512087559494,0.11901147396478438,66.0,5.240000000000002,nan,False,0.10337815204644533,0.8686402125986191,0.0731727269122923,False,0.3070886177676065
2.0,90.76,0.03106226124009632,0.09400475384656996,94.0,3.239999999999995,nan,False,0.08024706777487792,0.8536490389183223,0.0647705260220059,False,0.301497472184045
2.0,30.76,0.039802192559488206,0.09407099794322163,37.0,6.239999999999998,nan,False,0.07604922182132068,0.8084236745019082,0.07770350699402225,False,0.320550480059215
2.0,60.76,0.038094810586080476,0.08947365824229427,62.5,1.740000000000002,nan,False,0.07818028085338202,0.873779863137709,0.07691472987132038,False,0.3129472817693438
2.0,90.76,0.032496193442353,0.09608843911486184,98.0,7.239999999999995,nan,False,0.07047491315699009,0.7334380057183159,0.07947066450307205,False,0.3145288952759334
3.0,30.76,0.05474137497401316,0.2404242500118283,37.5,6.739999999999998,0.7142857142857143,True,0.21056221298061187,0.875794404974759,0.17739190950290767,False,0.5187944088663373
3.0,60.76,0.042749241536229714,0.24547542737712325,64.5,3.740000000000002,0.7142857142857143,True,0.21922006469710403,0.8930428069295785,0.17805496780703625,False,0.5170204298836845
3.0,90.76,0.04443098831304533,0.22984406248783032,95.5,4.739999999999995,0.7619047619047619,True,0.22156356007799757,0.9639733899575014,0.15961321599009565,False,0.5192188790866307
3.0,30.76,0.039297466449797466,0.241883549747338,35.5,4.739999999999998,0.7142857142857143,True,0.23330011543293236,0.9645141874122009,0.16082904072254053,False,0.5206644364765712
3.0,60.76,0.03811461677155834,0.23010974770455805,67.0,6.240000000000002,0.7142857142857143,True,0.19779298326763714,0.8595593417519497,0.17496622800989234,False,0.51996397120612
3.0,90.76,0.042797684634322555,0.23513504211502684,96.0,5.239999999999995,0.7142857142857143,True,0.22561858812044347,0.9595277083799021,0.17265416573898978,False,0.5181060688836234
3.0,30.76,0.03510259794850684,0.22892118228692424,38.0,7.239999999999998,0.7142857142857143,True,0.20251606469813213,0.8846541096590329,0.18140954905319184,False,0.5364468693733215
3.0,60.76,0.05286433033620187,0.22629369444155692,68.0,7.240000000000002,0.7142857142857143,True,0.19952082070681648,0.8816897050498468,0.18427514323936417,False,0.5356911591121128
3.0,90.76,0.04805103790589281,0.23878602151264014,98.0,7.239999999999995,0.7142857142857143,True,0.22273462776880174,0.9327791734115863,0.1767609833433068,False,0.5363084333283561
4.0,30.76,0.04284724925782796,0.3444360191246722,32.5,1.7399999999999984,0.7619047619047619,True,0.2917994240055983,0.8471803406251146,0.2816714146314735,False,0.7125115735190255
4.0,60.76,0.04710423249194866,0.3427548297292605,68.5,7.740000000000002,0.6666666666666666,True,0.25196197917207386,0.7351084720559495,0.2932507588324231,False,0.7115075758525303
4.0,90.76,0.039051878670246884,0.3575767522422241,92.5,1.7399999999999949,0.7619047619047619,True,0.286119571247846,0.8001626768342794,0.27980895659105864,False,0.7065972174916949
4.0,30.76,0.04481457946628476,0.3368544423186213,38.5,7.739999999999998,0.8095238095238095,True,0.2601149673163009,0.7721880273446574,0.29161163470569273,False,0.7328128814697266
4.0,60.76,0.046470721330028955,0.38395374907339647,63.0,2.240000000000002,0.8095238095238095,True,0.2720366152114175,0.7085140225038278,0.2875892655967241,False,0.7294169238635472
4.0,90.76,0.042032380742027295,0.3745579748859331,93.5,2.739999999999995,0.7619047619047619,True,0.2563371655967757,0.6843724677730862,0.2694196251126646,False,0.7337059123175484
4.0,30.76,0.05040665091558088,0.36327242352228517,33.0,2.2399999999999984,0.8095238095238095,True,0.3070100911178951,0.8451235800976272,0.3013507567063526,False,0.7372104525566101
4.0,60.76,0.0499257718473986,0.35152272076537977,62.5,1.740000000000002,0.8095238095238095,True,0.2859625356634839,0.8134965928826736,0.2961964719564059,False,0.7327926158905029
4.0,90.76,0.06520591943871268,0.35286481583801427,92.5,1.7399999999999949,0.7619047619047619,True,0.28883529298750704,0.8185437596025427,0.2931711877874821,False,0.7378673127719334
5.0,30.76,0.051515078692516224,0.42202069308607676,32.5,1.7399999999999984,0.42857142857142855,True,0.1999009933393025,0.4736758093009672,0.3247441415012375,False,0.8569747379847935
5.0,60.76,0.05980783566203149,0.43424501306767016,62.5,1.740000000000002,0.42857142857142855,True,0.21159346047082467,0.48726745064047794,0.3103255806874952,False,0.8555439370019096
5.0,90.76,0.060987255471525184,0.4069066975931403,92.5,1.7399999999999949,0.5238095238095238,True,0.21187932154891378,0.5207073828034372,0.3136453952581181,False,0.858751620565142
5.0,30.76,0.05893505231858269,0.37980457376611937,32.0,1.2399999999999984,0.38095238095238093,True,0.16050546493134912,0.4226001370646661,0.2842565950708009,False,0.876949497631618
5.0,60.76,0.05345274145354899,0.4132047974518623,62.0,1.240000000000002,0.3333333333333333,True,0.15678299595120945,0.37943169323796255,0.27362620629496803,False,0.874626066003527
